category,date,downloads
with_mirrors,2026-05-07,409
with_mirrors,2026-05-08,70
with_mirrors,2026-05-09,34
with_mirrors,2026-05-10,8
with_mirrors,2026-05-11,22
with_mirrors,2026-05-12,35
with_mirrors,2026-05-13,11
with_mirrors,2026-05-14,29
with_mirrors,2026-05-15,21
with_mirrors,2026-05-16,8
with_mirrors,2026-05-17,12
with_mirrors,2026-05-18,22
with_mirrors,2026-05-19,4
with_mirrors,2026-05-20,277
with_mirrors,2026-05-21,47
with_mirrors,2026-05-22,31
with_mirrors,2026-05-23,23
with_mirrors,2026-05-24,22
with_mirrors,2026-05-25,65
with_mirrors,2026-05-26,18
with_mirrors,2026-05-27,18
with_mirrors,2026-05-28,19
with_mirrors,2026-05-29,42
with_mirrors,2026-05-30,11
with_mirrors,2026-05-31,16
without_mirrors,2026-05-07,177
without_mirrors,2026-05-08,10
without_mirrors,2026-05-09,11
without_mirrors,2026-05-10,2
without_mirrors,2026-05-11,2
without_mirrors,2026-05-12,16
without_mirrors,2026-05-13,3
without_mirrors,2026-05-14,16
without_mirrors,2026-05-15,8
without_mirrors,2026-05-16,4
without_mirrors,2026-05-17,4
without_mirrors,2026-05-18,14
without_mirrors,2026-05-20,116
without_mirrors,2026-05-21,11
without_mirrors,2026-05-22,6
without_mirrors,2026-05-23,1
without_mirrors,2026-05-24,4
without_mirrors,2026-05-25,33
without_mirrors,2026-05-26,10
without_mirrors,2026-05-27,4
without_mirrors,2026-05-28,4
without_mirrors,2026-05-29,3
without_mirrors,2026-05-30,2
